Date,Open*,High,Low,Close**,Volume,Market Cap
14-Jan-21,$0.31 ,$0.32 ,$0.30 ,$0.31 ,"$2,686,785,564 ","$9,657,183,562 "
13-Jan-21,$0.29 ,$0.31 ,$0.27 ,$0.31 ,"$2,656,935,144 ","$9,757,153,488 "
12-Jan-21,$0.28 ,$0.31 ,$0.27 ,$0.29 ,"$4,037,298,875 ","$8,929,377,217 "
11-Jan-21,$0.31 ,$0.31 ,$0.23 ,$0.28 ,"$4,768,803,200 ","$8,570,417,665 "
10-Jan-21,$0.33 ,$0.34 ,$0.28 ,$0.30 ,"$3,732,911,206 ","$9,486,050,469 "
09-Jan-21,$0.31 ,$0.34 ,$0.30 ,$0.33 ,"$3,655,608,662 ","$10,359,612,261 "
08-Jan-21,$0.30 ,$0.32 ,$0.27 ,$0.31 ,"$4,560,690,774 ","$9,507,877,119 "
07-Jan-21,$0.33 ,$0.35 ,$0.28 ,$0.30 ,"$5,149,188,552 ","$9,333,113,824 "
06-Jan-21,$0.26 ,$0.35 ,$0.26 ,$0.33 ,"$6,170,988,900 ","$10,326,186,774 "
05-Jan-21,$0.22 ,$0.26 ,$0.21 ,$0.26 ,"$4,097,207,384 ","$8,036,779,511 "
04-Jan-21,$0.21 ,$0.24 ,$0.19 ,$0.22 ,"$3,260,699,086 ","$6,992,916,199 "
03-Jan-21,$0.18 ,$0.21 ,$0.17 ,$0.21 ,"$2,303,857,909 ","$6,377,915,102 "
02-Jan-21,$0.18 ,$0.18 ,$0.17 ,$0.18 ,"$1,408,849,504 ","$5,520,054,873 "
01-Jan-21,$0.18 ,$0.18 ,$0.17 ,$0.18 ,"$1,122,218,004 ","$5,455,571,953 "
31-Dec-20,$0.18 ,$0.19 ,$0.18 ,$0.18 ,"$1,132,268,397 ","$5,643,713,241 "
30-Dec-20,$0.19 ,$0.19 ,$0.18 ,$0.18 ,"$1,849,432,295 ","$5,725,936,828 "
29-Dec-20,$0.18 ,$0.20 ,$0.17 ,$0.19 ,"$2,967,669,490 ","$5,978,703,149 "
28-Dec-20,$0.15 ,$0.18 ,$0.15 ,$0.18 ,"$1,732,151,279 ","$5,498,652,274 "
27-Dec-20,$0.16 ,$0.17 ,$0.15 ,$0.15 ,"$1,578,354,821 ","$4,804,453,144 "
26-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.16 ,"$1,191,970,341 ","$4,910,288,580 "
25-Dec-20,$0.15 ,$0.17 ,$0.15 ,$0.16 ,"$1,119,917,804 ","$4,902,200,882 "
24-Dec-20,$0.14 ,$0.15 ,$0.13 ,$0.15 ,"$1,470,292,431 ","$4,756,584,656 "
23-Dec-20,$0.16 ,$0.16 ,$0.13 ,$0.14 ,"$1,484,453,887 ","$4,243,561,035 "
22-Dec-20,$0.15 ,$0.16 ,$0.15 ,$0.16 ,"$1,138,400,653 ","$4,859,123,318 "
21-Dec-20,$0.16 ,$0.17 ,$0.15 ,$0.15 ,"$1,139,902,286 ","$4,749,512,291 "
20-Dec-20,$0.16 ,$0.17 ,$0.16 ,$0.16 ,"$729,191,687 ","$5,039,863,587 "
19-Dec-20,$0.17 ,$0.17 ,$0.16 ,$0.16 ,"$586,684,841 ","$5,124,648,592 "
18-Dec-20,$0.16 ,$0.17 ,$0.16 ,$0.17 ,"$1,101,018,945 ","$5,133,191,975 "
